34 ST-PENN STA,"({'lat': 40.751056, 'lng': -73.9903102}, '34 Street Penn Station, New York, NY 10001, USA')"
GRD CNTRL-42 ST,"({'lat': 40.7522378, 'lng': -73.97717879999999}, 'Grand Central - 42 St, New York, NY 10017, USA')"
34 ST-HERALD SQ,"({'lat': 40.7496439, 'lng': -73.9876706}, '34 Street - Herald Sq Station, New York, NY, USA')"
TIMES SQ-42 ST,"({'lat': 40.7552574, 'lng': -73.986933}, 'Times Sq - 42 St, New York, NY, USA')"
23 ST,"({'lat': 40.7461165, 'lng': -73.99815749999999}, '23 Street Station, New York, NY 10011, USA')"
14 ST-UNION SQ,"({'lat': 40.7348024, 'lng': -73.990753}, '14 Street - Union Sq Station, New York, NY 10003, USA')"
FULTON ST,"({'lat': 40.7098694, 'lng': -74.00702540000002}, 'Fulton St, New York, NY, USA')"
42 ST-PORT AUTH,"({'lat': 40.7574602, 'lng': -73.98950570000001}, '42 St - Port Authority Bus Terminal, New York, NY 10036, USA')"
86 ST,"({'lat': 40.7780602, 'lng': -73.9521931}, 'East 86th St, New York, NY, USA')"
125 ST,"({'lat': 40.8107718, 'lng': -73.95261459999999}, 'W 125th St, New York, NY 10027, USA')"
59 ST COLUMBUS,"({'lat': 40.7684839, 'lng': -73.981807}, '59 St - Columbus Circle, New York, NY, USA')"
CANAL ST,"({'lat': 40.719393, 'lng': -74.0018987}, 'Canal St, New York, NY, USA')"
47-50 STS ROCK,"({'lat': 40.75885, 'lng': -73.98118610000002}, '47-50 Streets Rockefeller Center Station, New York, NY 10020, USA')"
59 ST,"({'lat': 40.7684839, 'lng': -73.981807}, '59 St - Columbus Circle, New York, NY, USA')"
96 ST,"({'lat': 40.7932251, 'lng': -73.96837359999999}, 'W 96th St, New York, NY 10025, USA')"
PATH NEW WTC,"({'lat': 40.7126452, 'lng': -74.00989799999999}, 'World Trade Center, New York, NY 10007, USA')"
14 ST,"({'lat': 40.7313474, 'lng': -73.9825664}, 'E 14th St, New York, NY, USA')"
CHAMBERS ST,"({'lat': 40.7156663, 'lng': -74.0095631}, 'Chambers St, New York, NY 10007, USA')"
