,STATION,zip_code
0,34 ST-PENN STA,10001
1,FULTON ST,10038
2,GRD CNTRL-42 ST,10017
3,TIMES SQ-42 ST,10018
4,34 ST-HERALD SQ,10001
5,CANAL ST,10013
6,42 ST-PORT AUTH,10036
7,23 ST,10011
8,125 ST,10027
9,86 ST,10028
10,59 ST,10022
11,47-50 STS ROCK,10020
12,14 ST,10003
13,CHAMBERS ST,10007
14,96 ST,10025
15,59 ST COLUMBUS,10023
16,FLUSHING-MAIN,11354
17,LEXINGTON AV/53,10022
18,50 ST,10019
19,WALL ST,10038
20,14 ST-UNION SQ,10003
21,ATL AV-BARCLAY,11217
22,42 ST-BRYANT PK,10018
23,7 AV,10019
24,CHURCH AV,11218
25,28 ST,10016
26,PATH NEW WTC,10007
27,JKSN HT-ROOSVLT,11372
28,JAY ST-METROTEC,11201
29,KINGS HWY,11229
30,77 ST,11209
31,33 ST,10016
32,5 AV/53 ST,10022
33,103 ST,10025
34,72 ST-2 AVE,10021
35,145 ST,10031
36,BOWLING GREEN,10004
37,SUTPHIN-ARCHER,11435
38,BOROUGH HALL,11201
39,W 4 ST-WASH SQ,10014
40,CROWN HTS-UTICA,11213
41,181 ST,10033
42,FOREST HILLS 71,11375
43,JAMAICA CENTER,11433
44,LEXINGTON AV/63,10065
45,DELANCEY/ESSEX,10002
46,GRAND ST,10002
47,72 ST,10021
48,161/YANKEE STAD,10451
49,COURT SQ,11101
50,KEW GARDENS,11415
51,66 ST-LINCOLN,10023
52,51 ST,11415
53,49 ST,10036
54,96 ST-2 AVE,10128
55,DEKALB AV,11237
56,FRANKLIN AV,11225
57,86 ST-2 AVE,10028
58,68ST-HUNTER CO,10021
59,WOODHAVEN BLVD,11373
60,168 ST,10032
61,BROOKLYN BRIDGE,10038
62,79 ST,10075
63,CORTLANDT ST,10006
64,JUNCTION BLVD,11368
65,116 ST,10027
66,GROVE STREET,7302
67,8 AV,10011
68,135 ST,10030
69,PRINCE ST,10012
70,36 ST,10012
71,JOURNAL SQUARE,7306
72,JAMAICA 179 ST,11432
73,SPRING ST,10013
74,THIRTY THIRD ST,10016
75,QUEENS PLAZA,11101
76,103 ST-CORONA,11368
77,FORDHAM RD,10468
78,BEDFORD AV,11211
79,2 AV,10002
80,ASTOR PL,10003
81,UTICA AV,11233
82,SOUTH FERRY,10004
83,GRAND-NEWTOWN,11373
84,WORLD TRADE CTR,10007
85,PAVONIA/NEWPORT,7310
86,FLATBUSH AV-B.C,15226
87,46 ST BLISS ST,11104
88,82 ST-JACKSON H,11372
89,VERNON-JACKSON,11101
90,BERGEN ST,11201
91,111 ST,11418
92,90 ST-ELMHURST,11372
93,STEINWAY ST,11103
94,SHEEPSHEAD BAY,11235
95,8 ST-NYU,10003
96,CONEY IS-STILLW,11224
